City,CityID,Country,Lat,Long,temp,humidity,cloudiness,wind speed
bikin,2026696,RU,46.82,134.26,60.78,33,100,2.64
waitati,2179825,NZ,-45.75,170.57,53.04,95,65,6.24
eyl,60019,SO,7.98,49.82,84.25,70,19,11.05
okoneshnikovo,1496329,RU,54.84,75.08,64.31,37,74,18.48
phan thiet,1571058,VN,10.93,108.1,88.5,60,97,10.76
leopold,2160336,AU,-38.18,144.47,59.25,72,90,10.29
quang ngai,1568770,VN,15.12,108.8,85.32,66,70,8.97
alofi,4036284,NU,-19.06,-169.92,78.8,83,24,8.05
esil,1524296,KZ,51.96,66.4,58.51,39,13,15.12
deniliquin,2169068,AU,-35.53,144.97,63.0,47,93,5.01
tromso,6453316,NO,69.65,18.96,33.8,96,90,11.41
bubaque,2374583,GW,11.28,-15.83,77.77,56,60,20.74
aquiraz,3407407,BR,-3.9,-38.39,77.0,88,20,3.36
wyndham,4794814,US,37.7,-77.61,60.48,55,1,12.75
sibolga,1213855,ID,1.74,98.78,88.25,63,95,5.26
sao filipe,3374210,CV,14.9,-24.5,69.08,78,1,21.16
deer lake,5937252,CA,49.17,-57.43,24.4,79,75,4.7
marsaxlokk,2562247,MT,35.84,14.54,60.48,100,20,1.12
samarai,2132606,PG,-10.62,150.67,84.16,72,95,9.24
vestmannaeyjar,3412093,IS,63.44,-20.27,44.85,90,100,31.85
kailua,5847486,US,21.4,-157.74,74.07,57,40,6.93
aykhal,2027296,RU,66.0,111.5,15.8,36,17,11.18
merauke,2082539,ID,-8.47,140.33,85.3,72,73,11.07
coahuayana,4013679,MX,18.73,-103.68,76.05,49,66,3.22
brejo,3404889,BR,-3.68,-42.75,72.55,95,100,0.27
mtwara,877747,TZ,-10.27,40.18,77.0,94,75,13.87
great falls,5655240,US,47.5,-111.3,43.52,39,90,1.66
goure,2444219,NE,13.98,10.27,76.37,14,8,7.23
sao joao da barra,3448903,BR,-21.64,-41.05,71.89,80,95,11.54
adrar,2381972,MR,20.5,-10.07,80.94,27,86,7.29
iqaluit,5983720,CA,63.75,-68.51,1.2,84,75,4.76
havre-saint-pierre,5972291,CA,50.23,-63.6,19.4,57,1,6.93
leninsk-kuznetskiy,1500665,RU,54.66,86.17,53.6,30,3,11.18
tambacounda,2244991,SN,13.75,-13.76,77.63,28,53,7.36
kirakira,2178753,SB,-10.45,161.92,82.54,76,99,0.63
nikolskoye,546105,RU,59.7,30.79,39.58,69,90,15.66
vrangel,2013258,RU,42.73,133.08,49.44,53,98,4.03
ewa beach,5855051,US,21.32,-158.01,73.6,60,75,5.82
san luis,3837056,AR,-33.3,-66.34,63.14,37,0,17.96
oristano,2523962,IT,39.9,8.6,59.0,87,75,4.7
katherine,2068655,AU,-14.47,132.27,98.6,32,40,8.05
okha,2122614,RU,53.57,142.95,29.08,87,93,9.19
sorland,3137469,NO,67.67,12.69,41.0,86,75,9.17
walvis bay,3359638,NA,-22.96,14.51,53.6,93,0,3.36
parrita,3622537,CR,9.52,-84.32,69.8,68,20,12.75
athabasca,5887916,CA,54.72,-113.29,32.65,75,84,11.32
zhangjiakou,2033196,CN,40.81,114.88,61.99,21,100,9.75
darlowo,3100637,PL,54.42,16.41,42.01,44,27,9.53
kutum,371745,SD,14.2,24.67,75.27,14,0,12.66
ahraura,1279219,IN,25.02,83.02,87.8,55,20,4.7
chinsali,918905,ZM,-10.54,32.08,67.44,56,79,10.83
filimonovo,1506834,RU,56.2,95.46,44.02,56,61,8.57
san borja,3905792,BO,-14.82,-66.85,66.51,70,43,2.91
ahipara,2194098,NZ,-35.17,173.17,64.31,86,7,9.01
bereda,3105522,ES,43.27,-7.54,46.99,1,2,3.02
leningradskiy,2123814,RU,69.38,178.42,8.62,94,100,8.84
ranau,1733502,MY,5.95,116.66,82.9,94,40,8.05
bengkulu,1649150,ID,-3.8,102.27,84.7,71,72,5.5
rosarito,3988392,MX,32.33,-117.03,56.89,82,90,8.99
salalah,286621,OM,17.02,54.09,86.0,66,40,6.93
matara,1235846,LK,5.95,80.54,89.47,60,63,8.05
praia da vitoria,3372760,PT,38.73,-27.07,59.0,82,20,11.21
bouar,2387926,CF,5.93,15.6,70.72,69,76,5.86
cidreira,3466165,BR,-30.18,-50.21,63.66,88,15,1.19
san quintin,3984997,MX,30.48,-115.95,58.8,72,14,10.42
kununurra,2068110,AU,-15.77,128.73,102.2,24,40,3.36
pisco,3932145,PE,-13.7,-76.22,68.0,82,18,5.82
san javier,2511366,ES,37.81,-0.84,61.54,100,75,9.17
niquelandia,3456285,BR,-14.47,-48.46,71.02,76,81,2.48
leh,1264976,IN,34.17,77.58,41.02,15,96,4.47
maholi,1264356,IN,27.67,80.47,101.52,12,5,3.76
klaksvik,2618795,FO,62.23,-6.59,41.0,93,0,13.87
kiunga,2093846,PG,-6.12,141.29,94.57,46,98,2.26
beringovskiy,2126710,RU,63.05,179.32,19.85,97,100,22.68
liepaja,457955,LV,56.54,21.04,44.6,75,8,5.82
sulangan,1685422,PH,11.14,123.72,86.13,67,13,7.11
beira,1052373,MZ,-19.84,34.84,80.6,83,40,9.17
san agustin,3988025,MX,20.53,-103.47,68.94,32,40,6.93
imeni poliny osipenko,2023584,RU,52.42,136.49,41.99,59,97,8.84
rzhaksa,499782,RU,52.13,42.03,42.57,59,0,13.65
vredendal,3359736,ZA,-31.67,18.5,65.75,41,0,5.86
lar,1265053,IN,26.2,83.97,101.39,19,4,6.11
bud,4255151,US,39.45,-86.18,35.19,80,90,9.17
asfi,2537881,MA,32.3,-9.24,61.07,79,76,6.76
goderich,5962442,CA,43.75,-81.72,31.98,87,89,6.71
boa vista,3664980,BR,2.82,-60.67,82.4,61,40,8.05
camden,4501019,US,39.78,-74.97,44.91,80,100,1.41
male,1282027,MV,4.17,73.51,89.6,75,20,9.17
buchanan,2278158,LR,5.88,-10.05,81.32,88,99,7.58
russell,4047434,US,32.35,-85.2,57.99,93,1,3.36
pombas,3374351,CV,17.15,-25.02,69.8,73,20,13.87
susehri,739209,TR,40.16,38.09,57.47,33,82,5.19
morondava,1058381,MG,-20.28,44.28,80.55,67,0,6.73
fortuna,5563839,US,40.6,-124.16,50.85,93,90,3.36
ostrovnoy,556268,RU,68.05,39.51,31.21,98,100,13.73
bulgan,2032201,MN,48.81,103.53,50.05,25,26,14.61
tlanalapa,3515399,MX,19.82,-98.6,68.0,49,40,4.7
samana,3492997,DO,19.21,-69.34,74.8,85,15,9.1
matagami,6067747,CA,49.75,-77.63,23.0,79,1,6.93
mariental,3355595,NA,-24.63,17.97,72.25,13,20,7.11
carrboro,4459343,US,35.91,-79.08,61.38,75,97,1.01
vila do maio,3374120,CV,15.13,-23.22,69.8,68,40,13.87
port hedland,2063042,AU,-20.32,118.57,96.8,41,100,12.75
taicheng,1790959,CN,38.73,113.23,60.42,21,100,8.86
winnemucca,5710360,US,40.97,-117.74,32.0,25,1,8.05
yinchuan,1786657,CN,38.47,106.27,57.99,28,99,3.0
muroto,1856392,JP,33.28,134.15,68.0,40,75,12.75
bilibino,2126682,RU,68.05,166.44,7.83,87,71,6.82
arlit,2447513,NE,18.74,7.39,80.65,12,0,4.32
siderno,6540819,IT,38.28,16.3,61.0,76,23,3.0
yerbogachen,2012956,RU,61.28,108.01,23.88,82,74,11.77
hay river,5972762,CA,60.82,-115.8,30.2,92,75,8.05
paamiut,3421193,GL,61.99,-49.67,25.56,93,100,8.23
la rioja,3336897,ES,42.25,-2.5,42.85,100,98,1.12
manokwari,1636308,ID,-0.87,134.08,83.89,73,61,5.26
mehamn,778707,NO,71.04,27.85,34.5,93,100,20.65
kavaratti,1267390,IN,10.57,72.64,89.6,66,20,3.36
fenton,4992612,US,42.8,-83.7,30.58,96,1,3.36
namatanai,2090021,PG,-3.67,152.43,83.5,73,98,8.3
ilo,3938415,PE,-17.64,-71.34,69.53,79,56,7.7
shache,1280037,CN,38.42,77.24,55.8,46,100,4.88
tanout,2439155,NE,14.97,8.89,76.57,13,0,7.11
witu,178093,KE,-2.39,40.44,82.72,80,92,4.5
vostok,2013279,RU,46.49,135.88,49.3,49,100,2.48
fukue,1863997,JP,32.69,128.84,60.8,72,20,11.41
kushima,1895695,JP,31.46,131.23,73.47,29,20,21.92
nokha,1261227,IN,27.6,73.42,94.12,16,81,12.21
paratinga,3455029,BR,-12.69,-43.18,70.27,80,2,1.1
hauge,3153694,NO,58.34,6.28,38.32,83,6,4.9
dakar,2253354,SN,14.69,-17.44,68.0,82,21,17.22
lavrentiya,4031637,RU,65.58,-171.0,21.09,95,100,14.9
linfen,1803567,CN,36.09,111.52,57.56,43,100,10.58
coruripe,3465329,BR,-10.13,-36.18,78.49,82,33,0.78
rio gallegos,3838859,AR,-51.62,-69.22,44.6,65,35,13.87
santa luzia,3450144,BR,-19.77,-43.85,67.15,77,68,4.92
nelidovo,522775,RU,56.22,32.78,35.62,78,90,11.36
natal,3394023,BR,-5.79,-35.21,75.2,100,20,3.36
chardara,1524889,KZ,41.25,67.97,71.31,28,0,3.31
tura,1254046,IN,25.52,90.22,83.73,56,95,5.97
irtyshskiy,1505495,RU,58.33,68.13,50.77,62,71,14.27
wladyslawowo,3081752,PL,54.79,18.4,41.97,45,62,13.8
araouane,2460954,ML,18.9,-3.53,81.34,23,6,4.83
wattegama,1224061,LK,6.8,81.48,93.38,46,73,4.74
bathsheba,3374083,BB,13.22,-59.52,78.8,74,40,17.22
mecca,104515,SA,21.43,39.83,81.3,33,84,2.98
aklavik,5882953,CA,68.22,-135.01,33.8,80,75,4.7
korla,1529376,CN,41.76,86.15,64.15,31,93,13.18
brandon,4148757,US,27.94,-82.29,71.08,100,1,3.18
tsabong,932987,BW,-26.02,22.4,69.66,26,36,14.88
baghdad,98182,IQ,33.34,44.4,77.0,38,94,11.41
kaz,1504081,RU,52.91,87.31,52.3,42,0,10.07
kavieng,2094342,PG,-2.57,150.8,83.95,70,76,6.4
iberia,4328254,US,29.95,-91.75,71.6,100,75,2.46
brnakot,174972,AM,39.5,45.97,62.6,51,2,4.7
manzanillo,3547867,CU,20.34,-77.12,74.93,80,4,4.52
mikkeli,646005,FI,61.69,27.27,36.84,64,90,9.17
rio grande,3451138,BR,-32.03,-52.1,63.46,88,0,7.34
shubarkuduk,608271,KZ,49.14,56.49,51.96,63,86,14.72
sabha,2212775,LY,27.04,14.43,72.77,28,0,12.97
piacabucu,3454005,BR,-10.41,-36.43,77.76,86,25,2.42
pangnirtung,6096551,CA,66.15,-65.71,0.05,88,100,1.86
preobrazheniye,2017658,RU,42.9,133.91,50.18,50,99,9.17
touros,3386213,BR,-5.2,-35.46,75.2,100,20,3.36
jasper,4392354,US,37.2,-94.35,32.04,86,1,3.87
bilozerka,712508,UA,46.62,32.44,51.01,93,81,9.82
komsomolets,1522348,KZ,53.75,62.07,51.6,43,57,21.92
muzaffarnagar,1262332,IN,29.47,77.68,98.98,15,7,4.63
westlock,6179138,CA,54.15,-113.87,36.07,86,90,18.34
matamoros,3996426,MX,25.53,-103.25,77.0,18,47,1.63
srednekolymsk,2121025,RU,67.45,153.68,5.59,92,100,13.8
phetchaburi,1151416,TH,12.97,99.58,91.4,63,20,9.17
san cristobal,3628473,VE,7.77,-72.22,66.97,55,72,1.28
sereflikochisar,301116,TR,38.94,33.54,59.61,37,97,7.58
margate,2643044,GB,51.38,1.39,48.0,96,99,15.61
westport,4845585,US,41.14,-73.36,39.36,93,90,10.29
cururupu,3401148,BR,-1.83,-44.87,75.58,92,100,1.74
steamboat springs,5582371,US,40.48,-106.83,25.45,79,1,2.17
homer,5864145,US,59.64,-151.55,46.51,87,90,4.7
marsa matruh,352733,EG,31.35,27.25,59.0,87,40,5.88
machilipatnam,1264637,IN,16.17,81.13,93.2,59,20,2.24
ouesso,2255564,CG,1.61,16.05,75.18,82,98,4.32
nouadhibou,2377457,MR,20.93,-17.03,64.4,88,0,9.17
dagua,3685292,CO,3.66,-76.69,69.8,83,75,4.7
ust-ilimsk,2013952,RU,58.0,102.66,35.6,67,53,10.56
xining,1788852,CN,36.62,101.77,66.18,10,4,5.44
kyabe,2429344,TD,9.45,18.94,85.57,30,70,3.06
namibe,3347019,AO,-15.2,12.15,74.62,69,82,7.05
idanre,2339150,NG,7.11,5.12,75.42,89,47,2.1
keti bandar,1174451,PK,24.14,67.45,87.48,52,1,13.15
cairns,2172797,AU,-16.92,145.77,82.67,78,90,6.93
chupa,567589,RU,66.27,33.05,32.45,95,97,15.77
dutlwe,933787,BW,-23.98,23.9,66.36,54,0,19.6
yumen,1528998,CN,40.28,97.2,63.59,16,7,10.98
okato,2185763,NZ,-39.2,173.88,58.91,66,8,3.0
sao raimundo das mangabeiras,3388147,BR,-7.02,-45.48,73.96,86,100,3.96
troitskoye,1489209,RU,52.98,84.68,55.47,47,0,11.95
zaysan,1517060,KZ,47.47,84.87,59.95,30,76,5.3
sydney,2147714,AU,-33.87,151.21,68.94,46,0,11.41
guerrero negro,4021858,MX,27.98,-114.06,59.36,78,2,14.88
gondanglegi,1640660,ID,-7.75,112.01,89.37,62,57,5.39
kenora,5991056,CA,49.82,-94.43,37.2,59,75,12.75
sortland,3137405,NO,68.69,15.42,34.97,99,100,18.01
chipinge,893549,ZW,-20.19,32.62,66.99,62,51,3.2
jiangyou,1885823,CN,31.77,104.72,72.99,39,95,6.71
coihaique,3894426,CL,-45.58,-72.07,50.0,87,20,9.17
bandar-e lengeh,141665,IR,26.56,54.88,78.8,74,95,9.17
mukhen,2019718,RU,48.1,136.1,62.46,30,25,4.23
raga,368246,SS,8.46,25.68,81.93,15,87,2.57
severnoye,1492607,RU,56.35,78.36,56.26,64,62,12.8
ribas do rio pardo,3451399,BR,-20.44,-53.76,59.58,70,56,3.89
yulara,6355222,AU,-25.24,130.99,89.6,21,9,9.17
baoding,1816971,CN,38.85,115.49,73.31,20,93,5.1
llanes,3118304,ES,43.42,-4.75,50.68,95,1,3.24
dingle,1714733,PH,11.0,122.67,91.33,52,28,15.21
pimampiro,3653146,EC,0.4,-77.97,60.1,41,86,4.09
maragogi,3395458,BR,-9.01,-35.22,78.71,81,66,0.83
usinsk,863061,RU,65.99,57.53,39.15,83,26,4.88
marawi,1701054,PH,8.0,124.29,84.52,43,14,5.06
dumingag,1714121,PH,8.17,123.35,95.29,40,17,3.11
henties bay,3356832,NA,-22.12,14.28,60.28,85,10,5.21
haikou,1809078,CN,20.05,110.34,84.2,70,75,6.71
panjab,1131162,AF,34.39,67.02,38.66,30,2,0.43
ganzhou,1810637,CN,28.82,115.43,68.63,72,98,5.35
kindu,212902,CD,-2.95,25.95,74.86,69,98,0.85
kerrville,4703078,US,30.05,-99.14,53.2,87,90,4.7
beyneu,610298,KZ,45.32,55.2,62.82,30,69,9.64
martapura,1636022,ID,-3.42,114.85,91.4,63,40,12.75
glens falls,5118693,US,43.31,-73.64,33.87,86,90,6.93
verkhnevilyuysk,2013639,RU,63.45,120.32,18.63,86,99,6.82
cap-aux-meules,5915327,CA,47.38,-61.86,31.05,95,91,7.58
ormara,1168700,PK,25.21,64.64,85.82,43,29,8.03
trairi,3386177,BR,-3.28,-39.27,77.05,84,36,1.03
iquique,3887127,CL,-20.22,-70.14,64.4,77,21,3.36
voi,178522,KE,-3.39,38.56,76.96,65,98,4.5
hammonton,4502129,US,39.64,-74.8,46.0,80,100,4.05
carutapera,3402648,BR,-1.2,-46.02,76.8,88,100,3.49
rundu,3353383,NA,-17.93,19.77,66.2,82,14,2.24
beba,3543961,CU,22.44,-79.73,75.2,83,5,6.93
constitucion,3893726,CL,-35.33,-72.42,59.7,93,29,7.16
tyukalinsk,1488780,RU,55.87,72.2,62.53,36,97,21.21
velventos,733911,GR,40.25,22.06,60.01,41,0,2.91
simao,1794209,CN,22.79,100.97,84.9,18,30,8.21
kulhudhuffushi,1337613,MV,6.62,73.07,86.58,70,96,12.19
anadyr,2127202,RU,64.75,177.48,19.18,85,75,13.42
salta,3838233,AR,-24.79,-65.41,52.52,93,4,0.69
padilla,3673407,CO,3.22,-76.31,69.8,83,75,4.7
faanui,4034551,PF,-16.48,-151.75,82.89,68,100,5.26
dahod,1273687,IN,22.83,74.27,100.63,14,0,8.81
payo,1638775,ID,-3.75,103.64,88.59,63,71,2.59
jacmel,3723779,HT,18.23,-72.53,78.8,78,14,14.99
anloga,2304548,GH,5.79,0.9,82.85,80,54,16.71
alekseyevka,582956,RU,50.63,38.69,44.56,57,7,12.12
laranjeiras do sul,3458746,BR,-25.41,-52.42,49.42,70,35,4.54
terrace bay,6162951,CA,48.78,-87.1,30.99,87,3,14.99
champasak,1657818,LA,14.75,106.0,86.0,58,20,2.24
jian,1806445,CN,27.12,114.98,83.32,55,100,3.04
labuhan,8079926,ID,-6.88,112.21,87.84,67,60,5.03
omsukchan,2122493,RU,62.53,155.8,6.4,84,100,8.59
puerto narino,3671387,CO,-3.77,-70.38,77.0,94,75,3.36
almaznyy,582447,RU,48.04,40.05,53.6,58,53,8.95
poum,2138555,NC,-20.23,164.02,79.34,74,82,11.32
otukpo,2328113,NG,7.19,8.13,77.74,80,91,5.28
zhigansk,2012530,RU,66.77,123.37,8.91,90,0,15.05
jhajjar,1269042,IN,28.61,76.66,90.3,29,40,10.29
plouzane,2986626,FR,48.38,-4.62,53.6,93,90,8.05
mapiripan,3792394,CO,2.89,-72.13,72.86,86,95,4.5
vestmanna,2610343,FO,62.16,-7.17,41.0,93,0,13.87
lillooet,6945979,CA,50.69,-121.94,50.0,62,90,10.29
kahului,5847411,US,20.89,-156.47,69.42,69,20,11.41
lukulu,909488,ZM,-14.37,23.24,68.97,55,29,7.56
makakilo city,5850554,US,21.35,-158.09,73.31,77,1,3.36
florence,3176959,IT,43.77,11.25,52.12,100,40,1.12
saint-francois,2980080,FR,46.42,3.91,53.1,87,95,3.36
ribeira grande,3372707,PT,38.52,-28.7,62.6,88,75,9.17
cangucu,3467512,BR,-31.39,-52.68,50.9,93,12,1.21
galle,1246294,LK,6.04,80.22,87.42,66,60,10.07
berkeley heights,5095617,US,40.68,-74.44,41.09,100,90,5.17
meulaboh,1214488,ID,4.14,96.13,85.57,68,60,3.67
egvekinot,4031742,RU,66.32,-179.17,10.13,89,97,18.14
minsk,625144,BY,53.9,27.57,37.4,69,20,13.42
san ramon de la nueva oran,3836620,AR,-23.13,-64.33,61.0,97,18,2.08
sinnamary,3380290,GF,5.38,-52.95,78.73,85,97,8.79
moses lake,5803990,US,47.13,-119.28,58.37,33,1,11.41
bilma,2446796,NE,18.69,12.92,83.01,12,0,8.46
oum hadjer,2426370,TD,13.3,19.7,83.97,13,8,16.78
iwanai,2129868,JP,42.97,140.51,53.56,58,93,8.28
esperance,2071860,AU,-33.87,121.9,86.0,27,94,13.87
